title,genre,mood,popularity
Atomic Habits,Self-help,focused,high
The Alchemist,Fiction,inspired,high
Ikigai,Philosophy,relaxed,medium
Harry Potter,Fantasy,happy,high
Deep Work,Productivity,focused,high
The Power of Now,Spiritual,relaxed,medium
Rich Dad Poor Dad,Finance,focused,high
The Fault in Our Stars,Romance,sad,high
Think Like a Monk,Self-help,calm,medium
The Hobbit,Fantasy,excited,high
Man’s Search for Meaning,Philosophy,thoughtful,high
Start With Why,Business,inspired,medium
Alone on a Wide Sea,Drama,sad,low
Who Moved My Cheese,Self-help,comfort,high
Sapiens,History,thoughtful,high
