title,genre,mood,popularity
Interstellar,Sci-Fi,thoughtful,high
Forrest Gump,Drama,comfort,high
Inside Out,Animation,happy,medium
The Dark Knight,Action,excited,high
La La Land,Romance,sad,medium
Inception,Thriller,excited,high
Soul,Animation,relaxed,medium
Parasite,Thriller,thoughtful,high
The Intern,Comedy,comfort,medium
Avengers: Endgame,Action,excited,high
Her,Romance,sad,medium
Up,Animation,happy,high
Joker,Drama,thoughtful,high
Toy Story,Animation,happy,high
A Beautiful Mind,Drama,focused,medium
